track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Remember (feat. Stevie Appleton),Sonny Fodera;Gorgon City;Danny Howard;Stevie Appleton,deep-house,0,67.0,spotify_114k,energetic,7,0.655,0.8899890649130525,0.8119069908660781,0.0611,0.10140562248995985,0.0149,0.328,0.6124833094840417,199967.0,5.0,0.0
Sandstorm,Darude,trance,0,70.0,spotify_114k,happy,5,0.528,0.9649965206541531,0.7726893201427018,0.0465,0.14156626506024095,0.985,0.587,0.6511813774521299,225493.0,11.0,0.0
Jerk It Out,Caesars,swedish,0,66.0,spotify_114k,euphoric,6,0.58,0.9809981112122546,0.9088378918604357,0.06,0.017168674698795183,1.07e-05,0.861,0.6413321783576054,195666.0,8.0,0.0
Kina Chir,The PropheC,hip-hop,0,72.0,spotify_114k,melancholic,0,0.622,0.4309434357775163,0.765706044581636,0.0293,0.0958835341365462,0.0,0.365,0.564338050547736,216026.0,11.0,0.0
Ghost,Au/Ra,pop,2019,72.0,musicon_v2,happy,5,0.6541019955654102,0.49435462186060314,0.9924802571362803,0.0394736842105263,0.559815017646343,0.0,0.5898989898989899,0.002893117400784392,177630.0,-1.0,-1.0
SI NO VAS A VOLVER,Aitana,spanish,0,65.0,spotify_114k,dark,1,0.697,0.6669668965095131,0.8725046175644562,0.0332,0.004467871485943776,0.0,0.275,0.5599207469693851,155645.0,8.0,1.0
Follow God,Kanye West,r&b,2019,85.0,musicon_v2,energetic,7,0.5011086474501109,0.8982604872958961,0.9966382326021018,0.4760765550239234,0.0,0.0,0.4383838383838384,0.0038746142386205922,104591.0,-1.0,-1.0
Radio,Lana Del Rey,unknown,2011,74.0,spotify_2023,dark,1,0.42,0.8599860826166121,0.8082635427472611,0.09,0.21084337349397592,0.0,0.2,0.7178716541198654,0.0,-1.0,-1.0
Silvertongue,Young The Giant,rock,2016,66.0,musicon_v2,euphoric,6,0.6607538802660753,0.7853296281943408,0.9959304920972811,0.0251196172248803,0.010141576406636647,0.0,0.8494949494949495,0.00170342426401324,197427.0,-1.0,-1.0
Tu as disparu,Laetitia Dostie,piano,0,65.0,spotify_114k,calm,2,0.362,0.10691122697596142,0.39857804316473966,0.0443,0.997991967871486,0.972,0.363,0.42087379337739467,115915.0,9.0,0.0
Eleven,Khalid,latin,2020,83.0,musicon_v2,melancholic,0,0.6917960088691795,0.3854933432672119,0.9907109058742285,0.1184210526315789,0.11358565575433043,0.0224839400428265,0.1161616161616161,0.0024875401950669534,206361.0,-1.0,-1.0
What Have I Done,Dermot Kennedy,r&b,2019,66.0,musicon_v2,energetic,7,0.6075388026607539,0.5737114417698045,0.9948688813400501,0.0191387559808612,0.19370410936675994,0.0,0.3202020202020202,0.0022955669843607,217082.0,-1.0,-1.0
Rock You Like a Hurricane - 2011,Scorpions,hard-rock,0,64.0,spotify_114k,euphoric,6,0.587,0.8909891643229338,0.8891531513296056,0.0361,0.00026204819277108433,0.00454,0.705,0.5934644964608927,255573.0,11.0,1.0
Undeniable (feat. X Ambassadors),Kygo;X Ambassadors,edm,0,69.0,spotify_114k,energetic,7,0.684,0.505950891518617,0.8040887584444502,0.0338,0.15963855421686748,0.0,0.352,0.5170398801632918,180596.0,6.0,1.0
Somebody,Sigala,latin,2018,69.0,musicon_v2,euphoric,6,0.6629711751662971,0.8463733358168032,0.9963728299127941,0.0574162679425837,0.09533081822238444,0.0,0.6878787878787879,0.001706128112051356,238667.0,-1.0,-1.0
I Heard It Through The Grapevine,Marvin Gaye,classic soul,1983,71.0,spotify_2000,calm,2,0.72,0.34993538357712756,0.6963793234319258,0.04,0.20080321285140565,0.0,0.64,0.559939890213495,0.0,-1.0,-1.0
"Bae (From ""Don"")",Anirudh Ravichander;Adithya RK,hip-hop,0,71.0,spotify_114k,energetic,7,0.697,0.6629664988699878,0.7913619917516383,0.0486,0.07038152610441767,1.04e-05,0.407,0.46407052371130075,242628.0,6.0,1.0
Follow The Sun,Xavier Rudd,reggae,0,71.0,spotify_114k,nostalgic,3,0.611,0.39393975761190664,0.7025276421324294,0.0416,0.536144578313253,4.68e-05,0.202,0.5931582045551349,256266.0,0.0,1.0
Moral of the Story (feat. Niall Horan) - Bonus Track,Ashe;Niall Horan,electro,0,74.0,spotify_114k,nostalgic,3,0.579,0.36993737177475444,0.7495129418313388,0.0383,0.497991967871486,0.0,0.216,0.5733353752793717,198515.0,10.0,1.0
Me & Ur Ghost,Blackbear,r&b,2020,68.0,musicon_v2,happy,5,0.7583148558758314,0.6184768273596102,0.994249608398332,0.0071770334928229,0.07099103484645654,0.0,0.8838383838383839,0.00170342426401324,200400.0,-1.0,-1.0
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia;Connie Constance,electro,0,79.0,spotify_114k,energetic,7,0.665,0.7379739546110884,0.8246337575588898,0.0379,0.012449799196787148,0.00598,0.0389,0.5984034534412375,214071.0,0.0,0.0
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",unknown,2019,77.0,spotify_2023,happy,5,0.76,0.5199522832569559,0.8082635427472611,0.03,0.040160642570281124,0.0,0.77,0.559939890213495,0.0,-1.0,-1.0
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",unknown,2021,70.0,spotify_2023,happy,5,0.8,0.689969182936784,0.8082635427472611,0.07,0.2811244979919679,0.0,0.62,0.5838689453508239,0.0,-1.0,-1.0
Feel Like God,gazzzy;framed,sad,0,71.0,spotify_114k,melancholic,0,0.819,0.34993538357712756,0.7107254003997673,0.062,0.05873493975903615,0.243,0.118,0.58370622777589,155951.0,1.0,1.0
My Chick Bad,Ludacris,r&b,2010,65.0,musicon_v2,euphoric,6,0.606430155210643,0.7181815498096321,0.9937188030197165,0.4282296650717703,0.1744351141941503,0.0,0.7646464646464647,0.001292439362219569,216933.0,-1.0,-1.0
Straight Outta Compton,N.W.A.,hardcore,0,72.0,spotify_114k,energetic,7,0.834,0.8779878719944764,0.7347367355716925,0.15,0.046285140562249,0.0,0.418,0.49221109255279943,258687.0,8.0,1.0
Superstition - Single Version,Stevie Wonder,adult standards,2002,77.0,musicon_v2,happy,5,0.6130820399113082,0.6235638029948154,0.989118489738382,0.0598086124401913,0.04056630562654659,0.0,0.8787878787878789,0.00170342426401324,245000.0,-1.0,-1.0
Di Mi Nombre - Cap.8: Éxtasis,Rosalía,r&b,2018,69.0,musicon_v2,happy,5,0.79490022172949,0.5258938707988755,0.9939842057090242,0.1327751196172248,0.8975295119873434,0.0,0.5525252525252526,0.0014844125729258236,162377.0,-1.0,-1.0
Riptide,Beartooth,metalcore,0,65.0,spotify_114k,happy,5,0.477,0.9339934389478316,0.9017281076841334,0.0803,0.0015060240963855422,0.0,0.55,0.6127608865236347,211119.0,6.0,0.0
Someday,The Strokes,garage,0,70.0,spotify_114k,happy,5,0.542,0.5309533767656506,0.7854160868355136,0.0301,0.003313253012048193,1.51e-06,0.671,0.5071523945805476,183573.0,9.0,1.0
We Are The Champions - Remastered 2011,Queen,glam rock,1977,66.0,musicon_v2,melancholic,0,0.2139689578713969,0.45060663139783846,0.9935418678935113,0.0119617224880382,0.3853799034521926,0.0,0.1717171717171717,0.0007300389702913883,179000.0,-1.0,-1.0
Return of the Mack,Mark Morrison,british,0,75.0,spotify_114k,happy,5,0.715,0.832983398549816,0.8386003086810212,0.108,0.006335341365461847,0.0,0.612,0.4569827375796239,213093.0,2.0,1.0
Sixteen,Ellie Goulding,pop,2019,81.0,musicon_v2,happy,5,0.656319290465632,0.7975383697188332,0.9949573489031527,0.138755980861244,0.27179424769786215,0.0,0.5464646464646465,0.0019711052197867495,201072.0,-1.0,-1.0
So Lonely,The Police,album rock,1978,66.0,spotify_2000,happy,5,0.54,0.5699572537510229,0.7722844925739444,0.16,0.010040160642570281,0.0,0.73,0.3685074491148642,0.0,-1.0,-1.0
Push My Luck,The Chainsmokers,edm,2019,66.0,musicon_v2,happy,5,0.5620842572062084,0.6367899396463489,0.9940726732721268,0.0239234449760765,0.29207740051113545,0.0,0.5353535353535354,0.0014330394602016145,181844.0,-1.0,-1.0
Your Man,Josh Turner,country,0,73.0,spotify_114k,happy,5,0.744,0.6369639142130729,0.8612706525314374,0.0241,0.3383534136546185,0.000222,0.785,0.4810266521816119,211893.0,6.0,1.0
Mood (feat. iann dior),24kGoldn;iann dior,pop,0,83.0,spotify_114k,euphoric,6,0.701,0.7159717675936988,0.8818156516458772,0.0361,0.1746987951807229,0.0,0.732,0.4355423041765773,140533.0,7.0,0.0
