track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Vacia Sin Mi,Ozuna,latin,2019,65.0,musicon_v2,happy,5,0.786031042128603,0.6236012207527977,0.7622377622377621,0.3361244019138756,0.3616161616161616,0.0032119914346895,0.7565656565656567,0.8644067796610171,271105.0,-1.0,-1.0
Step Harder,Yungeen Ace,edm,2019,65.0,musicon_v2,energetic,7,0.8237250554323725,0.6439471007121058,0.7867132867132867,0.4856459330143541,0.0181818181818181,0.0,0.3666666666666667,0.6666666666666667,176627.0,-1.0,-1.0
Tell It To My Heart,Taylor Dayne,latin,1988,65.0,musicon_v2,euphoric,6,0.6219512195121951,0.987792472024415,0.8146853146853146,0.0861244019138755,0.0303030303030303,0.0,0.7303030303030303,0.4576271186440678,220880.0,-1.0,-1.0
Lat Lag Gayee,Benny Dayal;Shalmali Kholgade;Pritam,pop-film,0,65.0,spotify_114k,euphoric,6,0.79,0.892,-4.038,0.0404,0.228,1.18e-06,0.896,131.991,280369.0,10.0,0.0
Love Me,Justin Bieber,latin,2009,65.0,musicon_v2,happy,5,0.7228381374722839,0.8657171922685657,0.874125874125874,0.0490430622009569,0.009090909090909,0.0,0.6383838383838385,0.4971751412429379,191573.0,-1.0,-1.0
Whole Lotta Rosie,Ac/Dc,album rock,1977,65.0,musicon_v2,energetic,7,0.2361419068736141,0.8372329603255342,0.8496503496503496,0.0717703349282296,0.0,0.0,0.4242424242424242,0.6892655367231639,334000.0,-1.0,-1.0
Tiro De Festim - Ao Vivo,Guilherme & Benuto,edm,2020,65.0,musicon_v2,happy,5,0.5232815964523281,0.7487283825025433,0.825174825174825,0.1004784688995215,0.6626262626262627,0.0,0.5555555555555556,0.4259887005649718,193103.0,-1.0,-1.0
Carnival - Dimitri Vegas & Like Mike Edit,Timmy Trumpet,edm,2019,65.0,musicon_v2,dark,1,0.3447893569844789,0.7192268565615464,0.7587412587412586,0.0681818181818181,0.002020202020202,0.3072805139186295,0.1292929292929293,0.5355932203389832,178615.0,-1.0,-1.0
Knock You Down,Keri Hilson,r&b,2009,65.0,musicon_v2,euphoric,6,0.5665188470066518,0.8748728382502544,0.8216783216783216,0.1674641148325358,0.0101010101010101,0.0,0.6515151515151516,0.6677966101694915,326187.0,-1.0,-1.0
I'M Blue - Club Mix,Kush Kush,edm,2019,65.0,musicon_v2,happy,5,0.729490022172949,0.91353001017294,0.811188811188811,0.0334928229665071,0.0464646464646464,0.0,0.6212121212121212,0.4915254237288136,150000.0,-1.0,-1.0
Perriando,Reykon,latin,2019,65.0,musicon_v2,happy,5,0.7971175166297116,0.6174974567650051,0.7272727272727272,0.3983253588516746,0.0585858585858585,0.0,0.88989898989899,0.807909604519774,157248.0,-1.0,-1.0
Otra Noche Más - Remix,Jay Wheeler,latin,2019,65.0,musicon_v2,euphoric,6,0.7971175166297116,0.6754832146490336,0.8391608391608391,0.0442583732057416,0.2888888888888889,0.0,0.8727272727272729,0.2994350282485876,279432.0,-1.0,-1.0
You Got Me,The Roots,latin,1999,65.0,musicon_v2,happy,5,0.7228381374722839,0.4323499491353001,0.7062937062937062,0.3169856459330143,0.1525252525252525,0.0,0.7646464646464647,0.2485875706214689,259307.0,-1.0,-1.0
Confidently Lost,Sabrina Claudio,r&b,2017,65.0,musicon_v2,melancholic,0,0.6529933481152993,0.3794506612410987,0.6888111888111887,0.0765550239234449,0.2747474747474747,0.0,0.3282828282828283,0.4344632768361582,209885.0,-1.0,-1.0
